(i, hn[i], current_templature, outcome, outcome_templature) = (166, 32731, 234.386, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (167, 5562, 71.372, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (168, 86012, 554.072, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (169, 49781, 336.686, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (170, 17317, 141.902, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (171, 27733, 204.398, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (172, 19285, 153.71, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (173, 88479, 568.874, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (174, 79107, 512.642, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (175, 18137, 146.822, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (176, 58731, 390.386, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (177, 64740, 426.44, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (178, 18833, 150.998, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (179, 13712, 120.272, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (180, 5164, 68.98400000000001, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (181, 29875, 217.25, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (182, 70875, 463.25, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (183, 45288, 309.728, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (184, 23044, 176.264, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (185, 62538, 413.228, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (186, 63974, 421.844, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (187, 5943, 73.658, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (188, 91673, 588.038, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (189, 19536, 155.216, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (190, 40114, 278.68399999999997, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (191, 22944, 175.66400000000002, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (192, 91905, 589.4300000000001, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (193, 89696, 576.176, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (194, 27172, 201.032, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (195, 26996, 199.976, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (196, 70678, 462.068, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (197, 47582, 323.492, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (198, 62859, 415.154, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (199, 10405, 100.43, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (200, 87459, 562.754, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (201, 56120, 374.72, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (202, 80766, 522.596, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (203, 96534, 617.2040000000001, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (204, 19732, 156.392, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (205, 61819, 408.914, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (206, 44285, 303.71, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (207, 68501, 449.00600000000003, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (208, 66352, 436.112, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (209, 83716, 540.296, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (210, 78190, 507.14, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (211, 53922, 361.532, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (212, 5137, 68.822, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (213, 43739, 300.434, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (214, 80632, 521.792, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (215, 7706, 84.236, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (216, 37872, 265.23199999999997, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (217, 27654, 203.924, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (218, 4730, 66.38, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (219, 24508, 185.048, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (220, 33644, 239.864, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (221, 77968, 505.808, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (222, 21661, 167.966, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (223, 88127, 566.7620000000001, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (224, 83115, 536.69, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (225, 47329, 321.974, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (226, 57457, 382.742, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (227, 27312, 201.872, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (228, 32998, 235.988, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (229, 66172, 435.032, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (230, 14677, 126.062, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (231, 95197, 609.182, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (232, 1969, 49.814, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (233, 50563, 341.378, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (234, 20978, 163.868, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (235, 57838, 385.028, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (236, 57581, 383.486, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (237, 84952, 547.712, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (238, 42739, 294.434, 1, 40.124)
